nr,stereotyp,status_story,status_audio,seconds,status_pic,status_video,status_cloudinary,status_caption,insta_post,youtube_post
1,Die Funktionskleidung,X,X,81,X,X,,X,X,X
2,Die Direktheit,X,X,65,X,X,,X,X,X
3,Die Tatort-Religiosität,X,X,73,X,X,,X,X,X
4,Stoßlüften,X,X,48,X,X,,X,X,X
5,Hausschuhe für Gäste,X,X,50,X,X,,X,X,X
6,Das haben wir schon immer so gemacht,X,X,54,X,X,,X,X,X
7,Dienst ist Dienst,X,X,50,X,X,,X,X,X
8,Der Hefter-Fetisch,X,X,51,X,X,,X,X,X
9,Termintreue,X,X,54,X,X,,X,X,X
10,Laminier-Wahn,X,X,56,X,X,,X,X,X
11,Die Brot-Kultur,X,X,54,X,X,,X,X,X
12,Schorle-Alles,X,X,51,X,X,,X,X,X
13,Spargelzeit,X,X,56,X,X,,X,X,X
14,Abendbrot,X,X,53,X,X,,X,X,X
15,Die Ampel-Disziplin,X,X,52,X,X,,X,X,X
16,Direktheit,X,X,52,X,X,,X,X,X
17,Das Auto als Heiligtum,X,X,51,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1779538966/stereotypen/0017_Das%20Auto%20als%20Heiligtum.mp4,X,,
18,Mülltrennung als Extremsport,X,X,50,X,X,,X,X,X
19,"Kein Bargeld, keine Chance",X,X,X,,,,X,,
20,Die Vereinsmeierei,X,X,57,X,X,,X,X,X
21,Der Mallorca-Kegelclub,X,X,52,X,X,,X,X,X
22,Sandalen mit Socken,X,X,53,X,X,,X,X,X
23,Die Wandergruppe „Alpenglück“,X,X,48,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1779539194/stereotypen/0023_Die%20Wandergruppe%20%E2%80%9EAlpengl%C3%BCck.mp4,X,,
24,Der Handtuch-Reservierer,X,X,47,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1781255206/stereotypen/0024_Der%20Handtuch-Reservierer.mp4,X,,
25,Der Berliner Techno-Hipster,X,X,48,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1781255344/stereotypen/0025_Der%20Berliner%20Techno-Hipster.mp4,X,,
26,Der „Vanlife”-Aussteiger,X,X,49,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1781255484/stereotypen/0026_Der%20%E2%80%9EVanlife%E2%80%9D-Aussteiger.mp4,X,,
27,Der Elektroauto-Missionar,X,X,52,X,X,,X,X,X
28,Der Fitness-Influencer aus dem Dorf,X,X,46,X,X,,X,X,X
29,Der Blockwart-Nachbar,X,X,48,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1779539361/stereotypen/0029_Der%20Blockwart-Nachbar.mp4,X,,
30,Der Anzeige ist raus-Typ,X,X,50,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1779539447/stereotypen/0030_Der%20Anzeige%20ist%20raus-Typ.mp4,X,,
31,Der DB-Wutbürger,X,X,47,X,X,https://res.cloudinary.com/dekvcn9el/video/upload/v1779539532/stereotypen/0031_Der%20DB-Wutb%C3%BCrger.mp4,X,,
